timestamp,x,y,z,g,raw_x,raw_y,raw_z
1435297008347,-0.25,2.5,0.1875,2.5194555463432966,-0.25,-2.5,0.1875
1435297008544,-0.375,0.875,0.3125,1.0019512213675874,-0.375,-0.875,0.3125
1435297008742,-0.3125,0.875,0.5625,1.086134199811423,-0.3125,-0.875,0.5625
1435297009337,-1.0625,2,-0.25,2.278465766694773,-1.0625,-2,-0.25
1435297009339,0.5625,-0.0625,0.125,0.5796011559684815,0.5625,0.0625,0.125
1435297009340,-2.4375,0.125,0.0625,2.441503123078076,-2.4375,-0.125,0.0625
1435297009735,-0.625,0.5,0.25,0.8385254915624212,-0.625,-0.5,0.25
1435297009933,-0.375,1,0.125,1.0752906583803283,-0.375,-1,0.125
1435297010132,-1.125,1.6875,0.4375,2.074774084087229,-1.125,-1.6875,0.4375
1435297010331,-1.125,1.6875,0.125,2.0319710258761075,-1.125,-1.6875,0.125
1435297010530,0.25,-0.125,-0.25,0.375,0.25,0.125,-0.25
1435297010728,-3.125,0.1875,0.5,3.1702967132430997,-3.125,-0.1875,0.5
1435297010927,-0.625,0.9375,0.3125,1.1692679333668567,-0.625,-0.9375,0.3125
1435297011126,-0.375,0.8125,0.25,0.9291292967074066,-0.375,-0.8125,0.25
1435297011325,-0.5,1.0625,0.8125,1.4279574573494829,-0.5,-1.0625,0.8125
1435297011523,-1.4375,1.8125,-0.125,2.3167191241063296,-1.4375,-1.8125,-0.125
1435297012321,0.1875,0.0625,0.125,0.23385358667337133,0.1875,-0.0625,0.125
1435297012323,-2.25,0.5,0.1875,2.3125,-2.25,-0.5,0.1875
1435297012324,-0.625,0.4375,0.25,0.8028270361665706,-0.625,-0.4375,0.25
1435297012517,-0.5,0.875,0.25,1.0383279828647594,-0.5,-0.875,0.25
1435297012518,-0.4375,0.875,0.625,1.1608859763129193,-0.4375,-0.875,0.625
1435297012716,-1.6875,2,-0.25,2.6287176056016364,-1.6875,-2,-0.25
1435297012915,0.1875,0,0.125,0.22534695471649932,0.1875,0,0.125
1435297013114,-1.8125,0.1875,0.125,1.8264548995253072,-1.8125,-0.1875,0.125
1435297013312,-0.6875,0.5,0.25,0.8860904299223641,-0.6875,-0.5,0.25
1435297013511,-0.4375,0.9375,0.3125,1.0807260291119114,-0.4375,-0.9375,0.3125
1435297013710,-0.375,1,0.375,1.1319231422671772,-0.375,-1,0.375
1435297013908,-0.8125,1.5625,-0.0625,1.7622340224839605,-0.8125,-1.5625,-0.0625
1435297014107,0.0625,0.1875,0.125,0.23385358667337133,0.0625,-0.1875,0.125
1435297014306,-1.4375,0.25,-0.25,1.4803399102908763,-1.4375,-0.25,-0.25
1435297014504,-0.75,0.625,0.3125,1.0250762166785454,-0.75,-0.625,0.3125
1435297014703,-0.375,0.875,0.3125,1.0019512213675874,-0.375,-0.875,0.3125
1435297014902,-0.3125,0.875,0.5625,1.086134199811423,-0.3125,-0.875,0.5625
1435297015101,0.375,1.375,0,1.4252192813739224,0.375,-1.375,0
1435297015299,0.125,0.625,0,0.6373774391990981,0.125,-0.625,0
1435297015499,-0.3125,0.0625,0.5625,0.6465050270492876,-0.3125,-0.0625,0.5625
1435297015698,-0.625,2.3125,0.25,2.4084811084997115,-0.625,-2.3125,0.25
1435297015896,-0.5,0.8125,0.375,1.0250762166785454,-0.5,-0.8125,0.375
1435297016096,-0.375,0.8125,0.3125,0.9478594305064438,-0.375,-0.8125,0.3125
1435297016294,-0.4375,1.25,0.125,1.3302372908620477,-0.4375,-1.25,0.125
1435297016492,-0.75,1.625,-0.5,1.8582585934148133,-0.75,-1.625,-0.5
1435297016693,-0.0625,0.75,0.4375,0.8705242673240075,-0.0625,-0.75,0.4375
1435297016891,-1.875,1.25,0.1875,2.261256564390693,-1.875,-1.25,0.1875
1435297017090,-0.3125,1.125,0.375,1.2263385543967864,-0.3125,-1.125,0.375
1435297017288,-0.125,1.0625,0.1875,1.086134199811423,-0.125,-1.0625,0.1875
1435297017490,-0.875,0.5,0.75,1.2562344526401112,-0.875,-0.5,0.75
1435297017686,-0.375,1.4375,-0.875,1.7241392780167153,-0.375,-1.4375,-0.875
1435297017885,-0.1875,0.25,-0.25,0.40019526483955303,-0.1875,-0.25,-0.25
1435297018083,-0.75,0.1875,0.125,0.7831227553838542,-0.75,-0.1875,0.125
1435297018281,-0.5625,1.375,0.0625,1.4869221566712898,-0.5625,-1.375,0.0625
1435297018480,-0.3125,0.9375,0.1875,1.0058423087144426,-0.3125,-0.9375,0.1875
1435297018679,-0.125,1,0.1875,1.0250762166785454,-0.125,-1,0.1875
1435297018878,-0.125,1.3125,0.125,1.3243512562760682,-0.125,-1.3125,0.125
1435297019076,-1.8125,2.125,-0.3125,2.8104158944896396,-1.8125,-2.125,-0.3125
1435297019275,-0.125,0.25,-0.0625,0.28641098093474,-0.125,-0.25,-0.0625
1435297019474,-0.75,0.3125,0.625,1.0250762166785454,-0.75,-0.3125,0.625
1435297019673,-0.5,1.25,0.125,1.352081728298996,-0.5,-1.25,0.125
1435297019871,-0.5,0.875,0.1875,1.0250762166785454,-0.5,-0.875,0.1875
1435297020070,-0.4375,0.875,0.1875,0.9960860906568267,-0.4375,-0.875,0.1875
1435297020268,-0.4375,1,0.3125,1.1353688827865593,-0.4375,-1,0.3125
1435297020467,-1,1.5625,-0.3125,1.8812396179115514,-1,-1.5625,-0.3125
1435297020865,-0.1875,0.375,0,0.4192627457812106,-0.1875,-0.375,0
1435297020866,0.125,0.3125,0,0.3365728004459065,0.125,-0.3125,0
1435297021064,-1.6875,0.75,0.1875,1.8561553006146871,-1.6875,-0.75,0.1875
1435297021262,-0.5625,0.75,0.3125,0.9882117688026185,-0.5625,-0.75,0.3125
1435297021461,-0.3125,0.9375,0.1875,1.0058423087144426,-0.3125,-0.9375,0.1875
1435297021660,-0.0625,1.0625,0,1.0643366478704002,-0.0625,-1.0625,0
1435297021859,0.0625,1.75,-0.1875,1.7611253504506714,0.0625,-1.75,-0.1875
1435297022058,-0.5625,1.125,-0.1875,1.2716868718359877,-0.5625,-1.125,-0.1875
1435297022256,0.1875,-0.0625,0.0625,0.2072890493972125,0.1875,0.0625,0.0625
1435297022455,-1.4375,0.8125,0.0625,1.6524130083002857,-1.4375,-0.8125,0.0625
1435297022654,-0.625,0.5,0.125,0.8100925873009825,-0.625,-0.5,0.125
1435297022852,-0.5,0.9375,0.1875,1.0789172813520043,-0.5,-0.9375,0.1875
1435297023051,-0.1875,0.9375,-0.0625,0.9581068572972432,-0.1875,-0.9375,-0.0625
1435297023250,-0.0625,1.5,0.25,1.5219744577357401,-0.0625,-1.5,0.25
1435297023449,-0.8125,1.875,-0.125,2.0472924192699,-0.8125,-1.875,-0.125
1435297023648,0,0.125,0,0.125,0,-0.125,0
1435297023846,-1.4375,0.5625,0,1.5436361294035585,-1.4375,-0.5625,0
1435297024045,-0.6875,0.5,0.25,0.8860904299223641,-0.6875,-0.5,0.25
1435297024244,-0.375,0.9375,0.1875,1.0269797953221864,-0.375,-0.9375,0.1875
1435297024443,-0.3125,0.875,0.3125,0.9802741963348827,-0.3125,-0.875,0.3125
1435297025039,-0.375,1,0.875,1.3806701271484076,-0.375,-1,0.875
1435297025040,-0.375,1.4375,-0.3125,1.5181197251863898,-0.375,-1.4375,-0.3125
1435297025042,0,0.375,0,0.375,0,-0.375,0
1435297025238,-0.375,0.5,-0.0625,0.6281172263200556,-0.375,-0.5,-0.0625
1435297025436,-1.3125,1.0625,0.1875,1.6990346523835234,-1.3125,-1.0625,0.1875
1435297025835,-0.5625,1,0.25,1.174268389253496,-0.5625,-1,0.25
1435297025837,-0.4375,0.875,0.25,1.0097184013377194,-0.4375,-0.875,0.25
1435297026033,-0.3125,1,0.8125,1.3258252147247767,-0.3125,-1,0.8125
1435297026232,-0.5,1.5,-0.375,1.625,-0.5,-1.5,-0.375
1435297026628,0.125,0.375,-0.1875,0.4375,0.125,-0.375,-0.1875
1435297026828,-0.625,0.1875,0.1875,0.6789237807000135,-0.625,-0.1875,0.1875
1435297026829,-0.5625,1.75,0.1875,1.8477181873868103,-0.5625,-1.75,0.1875
1435297027027,-0.5,0.8125,0.1875,0.9722718241315028,-0.5,-0.8125,0.1875
1435297027225,-0.25,0.9375,0.125,0.978279740156158,-0.25,-0.9375,0.125
1435297027424,-0.25,1.25,0.4375,1.347741165802989,-0.25,-1.25,0.4375
1435297027622,-1.1875,2,-0.1875,2.333519337824309,-1.1875,-2,-0.1875
timestamp,x,y,z,g,raw_x,raw_y,raw_z
1435297077910,-1.625,0.1875,-0.0625,1.6369751067135994,-1.625,-0.1875,-0.0625
1435297078305,-0.8125,0.25,0.25,0.8860904299223641,-0.8125,-0.25,0.25
1435297078504,-0.3125,1.0625,0.0625,1.109264959331178,-0.3125,-1.0625,0.0625
1435297078505,-0.1875,1.125,0.4375,1.221551267855754,-0.1875,-1.125,0.4375
1435297078702,-1.3125,2.125,-0.0625,2.4984370114133356,-1.3125,-2.125,-0.0625
1435297078901,0,0,0.25,0.25,0,0,0.25
1435297079498,-1.6875,0.1875,0.125,1.7024798089845294,-1.6875,-0.1875,0.125
1435297079500,-0.625,0.375,0.1875,0.7525996611745185,-0.625,-0.375,0.1875
1435297079501,-0.3125,1,0.1875,1.0643366478704002,-0.3125,-1,0.1875
1435297079696,-0.25,1.0625,0.5,1.200585794518659,-0.25,-1.0625,0.5
1435297079894,-0.875,1.5625,-0.1875,1.8006075363609917,-0.875,-1.5625,-0.1875
1435297080093,0.0625,0.4375,-0.0625,0.44633927678392815,0.0625,-0.4375,-0.0625
1435297080292,-0.875,0.1875,-0.125,0.90355201842506,-0.875,-0.1875,-0.125
1435297080491,-0.6875,1.0625,0.1875,1.27934309315367,-0.6875,-1.0625,0.1875
1435297080690,-0.5,0.875,0.25,1.0383279828647594,-0.5,-0.875,0.25
1435297080888,-0.4375,0.875,0.3125,1.0269797953221864,-0.4375,-0.875,0.3125
1435297081089,0.125,1.4375,0.0625,1.444277501036418,0.125,-1.4375,0.0625
1435297081287,-0.1875,0.5,-0.25,0.5896238207535377,-0.1875,-0.5,-0.25
1435297081485,0.125,0.4375,0.25,0.5191639914323797,0.125,-0.4375,0.25
1435297082083,-1.8125,0.8125,0.375,2.0213702035995285,-1.8125,-0.8125,0.375
1435297082083,-0.375,1,0.25,1.0968705484240153,-0.375,-1,0.25
1435297082084,-0.25,0.9375,0.125,0.978279740156158,-0.25,-0.9375,0.125
1435297082279,0.1875,1.5625,0.0625,1.574950396044269,0.1875,-1.5625,0.0625
1435297082479,-0.5,1.1875,0,1.288470508005519,-0.5,-1.1875,0
1435297082677,-0.125,0,-0.125,0.1767766952966369,-0.125,0,-0.125
1435297082876,-0.9375,0.4375,0.25,1.0643366478704002,-0.9375,-0.4375,0.25
1435297083075,-0.5625,0.9375,0.3125,1.1370878374162658,-0.5625,-0.9375,0.3125
1435297083273,-0.375,0.875,0.1875,0.9702609185162515,-0.375,-0.875,0.1875
1435297083473,-0.25,1.25,0.6875,1.4483287782820584,-0.25,-1.25,0.6875
1435297083671,-0.875,2.1875,0.0625,2.3568384543706005,-0.875,-2.1875,0.0625
1435297083869,0.125,-0.0625,-0.375,0.40019526483955303,0.125,0.0625,-0.375
1435297084068,-1.6875,0,0.3125,1.7161912772182477,-1.6875,0,0.3125
1435297084267,-0.625,0.875,0.1875,1.0915155747858112,-0.625,-0.875,0.1875
1435297084466,-0.4375,0.875,0.125,0.9862333648787187,-0.4375,-0.875,0.125
1435297084665,-0.375,1.25,0.75,1.505199322349037,-0.375,-1.25,0.75
1435297084864,-1.25,2,-0.1875,2.3659366538434625,-1.25,-2,-0.1875
1435297085062,0.1875,0.125,-0.0625,0.23385358667337133,0.1875,-0.125,-0.0625
1435297085261,-1.625,0.125,0.25,1.648863244784115,-1.625,-0.125,0.25
1435297085460,-0.6875,0.75,0.25,1.0476909133900132,-0.6875,-0.75,0.25
1435297085658,-0.5,0.9375,0.1875,1.0789172813520043,-0.5,-0.9375,0.1875
1435297085857,-0.4375,0.9375,0.9375,1.3961442439805423,-0.4375,-0.9375,0.9375
1435297086057,-0.8125,1.1875,-0.1875,1.4510233457804875,-0.8125,-1.1875,-0.1875
1435297086256,0.25,0.4375,-0.3125,0.5929270612815711,0.25,-0.4375,-0.3125
1435297086454,-0.0625,0.8125,1.25,1.4921670482891654,-0.0625,-0.8125,1.25
1435297086850,-3.4375,1.25,0.4375,3.683790507072844,-3.4375,-1.25,0.4375
1435297087051,-0.25,0.875,0.375,0.9842509842514764,-0.25,-0.875,0.375
1435297087248,-0.25,0.875,0.625,1.103970108290981,-0.25,-0.875,0.625
1435297087446,-0.1875,1.25,0.4375,1.3375584099395434,-0.1875,-1.25,0.4375
1435297087843,-0.5,1.3125,-0.1875,1.4169730060943293,-0.5,-1.3125,-0.1875
1435297087845,-0.25,0.625,-0.1875,0.6987712429686843,-0.25,-0.625,-0.1875
1435297088043,-1.875,0.8125,0.3125,2.0672294260676534,-1.875,-0.8125,0.3125
1435297088241,-0.375,1.0625,0.4375,1.2086924753633572,-0.375,-1.0625,0.4375
1435297088441,-0.375,0.875,0.375,1.0231690964840563,-0.375,-0.875,0.375
1435297088639,-0.3125,0.875,0.8125,1.2342761036332186,-0.3125,-0.875,0.8125
1435297089036,-0.4375,1.375,-0.1875,1.455055840852852,-0.4375,-1.375,-0.1875
1435297089038,-0.0625,0.5,-0.0625,0.5077524002897476,-0.0625,-0.5,-0.0625
1435297089235,-0.75,0.125,0.1875,0.7831227553838542,-0.75,-0.125,0.1875
1435297089434,-0.6875,1.125,0.1875,1.3317047345414073,-0.6875,-1.125,0.1875
1435297089632,-0.5,0.875,0.25,1.0383279828647594,-0.5,-0.875,0.25
1435297089831,-0.3125,0.9375,0.3125,1.0364452469860626,-0.3125,-0.9375,0.3125
1435297090030,0.375,1.5625,-0.0625,1.6080850412835759,0.375,-1.5625,-0.0625
1435297090229,-0.3125,0.8125,0,0.8705242673240075,-0.3125,-0.8125,0
1435297090427,-0.0625,0.1875,0.375,0.42389562394532926,-0.0625,-0.1875,0.375
1435297090626,1.0625,1.75,0.25,2.0625,1.0625,-1.75,0.25
1435297090825,-0.4375,0.9375,0.4375,1.1232625472257143,-0.4375,-0.9375,0.4375
1435297091024,-0.1875,0.9375,0.25,0.9882117688026185,-0.1875,-0.9375,0.25
1435297091222,-0.75,0.875,0.625,1.3110110602126894,-0.75,-0.875,0.625
1435297091421,-1.8125,1.5,-0.1875,2.3601509485624006,-1.8125,-1.5,-0.1875
1435297091620,-0.125,0.1875,0.1875,0.29315098498896436,-0.125,-0.1875,0.1875
1435297091819,-1.8125,0.1875,0,1.8221724671391564,-1.8125,-0.1875,0
1435297092017,-0.5625,0.625,0.375,0.9206824914160147,-0.5625,-0.625,0.375
1435297092216,-0.3125,0.8125,0.25,0.9057110466368399,-0.3125,-0.8125,0.25
1435297092415,-0.375,1,0.5625,1.207075494739248,-0.375,-1,0.5625
1435297092614,-0.25,1.4375,0.0625,1.4604151806934904,-0.25,-1.4375,0.0625
1435297092812,-0.25,0.75,0.0625,0.793036096278095,-0.25,-0.75,0.0625
1435297093011,-0.3125,0.125,0.0625,0.3423265984407288,-0.3125,-0.125,0.0625
1435297093210,-0.5625,0.5,0.1875,0.7756046028744286,-0.5625,-0.5,0.1875
1435297093409,-0.625,0.8125,0.3125,1.0716517624676405,-0.625,-0.8125,0.3125
1435297093607,-0.3125,0.9375,0.25,1.0193441518937556,-0.3125,-0.9375,0.25
1435297093806,-0.3125,0.9375,0.5,1.1075028216668343,-0.3125,-0.9375,0.5
1435297094005,0.5,1.4375,-0.1875,1.5334805182981621,0.5,-1.4375,-0.1875
1435297094206,-0.125,0.8125,0,0.8220591523728691,-0.125,-0.8125,0
1435297094403,-0.125,0.0625,0.0625,0.15309310892394862,-0.125,-0.0625,0.0625
1435297094602,-0.875,1.875,0.25,2.084166500066633,-0.875,-1.875,0.25
1435297094800,-0.5,0.875,0.4375,1.0986497394529342,-0.5,-0.875,0.4375
1435297094999,-0.3125,0.875,0.1875,0.9478594305064438,-0.3125,-0.875,0.1875
1435297095198,-0.625,0.8125,0.75,1.2701500895563484,-0.625,-0.8125,0.75
1435297095397,-1,1.375,-0.375,1.741048534648015,-1,-1.375,-0.375
1435297095595,-0.125,0.25,0.25,0.375,-0.125,-0.25,0.25
1435297095794,-2.0625,0.3125,0.0625,2.086975982133,-2.0625,-0.3125,0.0625
1435297095993,-0.5625,0.625,0.375,0.9206824914160147,-0.5625,-0.625,0.375
1435297096191,-0.3125,0.9375,0.3125,1.0364452469860626,-0.3125,-0.9375,0.3125
1435297096391,-0.25,1,0.625,1.2054563451241194,-0.25,-1,0.625
1435297096589,-0.6875,1.4375,0.125,1.5983389815680527,-0.6875,-1.4375,0.125
1435297096788,-0.1875,0.75,0.0625,0.7756046028744286,-0.1875,-0.75,0.0625
1435297096986,-0.25,0,0.375,0.45069390943299864,-0.25,0,0.375
1435297097185,-0.375,1.125,0.3125,1.2263385543967864,-0.375,-1.125,0.3125
1435297097384,-0.5,0.8125,0.25,0.9862333648787187,-0.5,-0.8125,0.25
1435297097583,-0.3125,0.875,0.1875,0.9478594305064438,-0.3125,-0.875,0.1875
1435297097782,-0.0625,1.5625,0.4375,1.6237976320958225,-0.0625,-1.5625,0.4375
timestamp,x,y,z,g,raw_x,raw_y,raw_z
1435297142901,0.0625,0.25,-0.125,0.28641098093474,0.0625,-0.25,-0.125
1435297143098,-1.375,0.4375,-0.125,1.4483287782820584,-1.375,-0.4375,-0.125
1435297143494,-0.625,1.0625,0.25,1.2577882373436318,-0.625,-1.0625,0.25
1435297143693,-0.4375,0.9375,0.1875,1.0514127400787951,-0.4375,-0.9375,0.1875
1435297144092,-0.25,1,0.5625,1.174268389253496,-0.25,-1,0.5625
1435297144094,-0.6875,1.5,0,1.6500473478055107,-0.6875,-1.5,0
1435297144289,0.1875,0.4375,0.0625,0.480071609241788,0.1875,-0.4375,0.0625
1435297144686,-1.125,0.125,-0.3125,1.174268389253496,-1.125,-0.125,-0.3125
1435297144688,-0.75,0.75,0.25,1.0897247358851685,-0.75,-0.75,0.25
1435297144690,-0.375,0.875,0.25,0.9842509842514764,-0.375,-0.875,0.25
1435297144886,-0.25,1,0.625,1.2054563451241194,-0.25,-1,0.625
1435297145085,-0.0625,1.3125,0.1875,1.3272975363497064,-0.0625,-1.3125,0.1875
1435297145284,-0.1875,0.4375,-0.1875,0.5115845482420281,-0.1875,-0.4375,-0.1875
1435297145486,-0.4375,0.125,0.625,0.7730823048033113,-0.4375,-0.125,0.625
1435297145682,-0.4375,1.8125,0.25,1.8812396179115514,-0.4375,-1.8125,0.25
1435297145880,-0.4375,0.875,0.3125,1.0269797953221864,-0.4375,-0.875,0.3125
1435297146080,-0.3125,0.8125,0,0.8705242673240075,-0.3125,-0.8125,0
1435297146277,-0.25,1.5,0.1875,1.5322063340164078,-0.25,-1.5,0.1875
1435297146476,-0.6875,1.5,0.0625,1.6512306017028633,-0.6875,-1.5,0.0625
